NomeCompleto,SamAccountName,Email,Telefone,Departamento,Senha
João da Silva,joaosilva,joao.silva@dominio.com,1234-5678,TI,SenhaForte@123
Maria Oliveira,mariaoliveira,maria.oliveira@dominio.com,2345-6789,Financeiro,SenhaForte@123
Carlos Pereira,carlospereira,carlos.pereira@dominio.com,3456-7890,Recursos Humanos,SenhaForte@123
Ana Souza,anasouza,ana.souza@dominio.com,4567-8901,Marketing,SenhaForte@123
Paulo Lima,paulolima,paulo.lima@dominio.com,5678-9012,Vendas,SenhaForte@123
Lucas Mendes,lucasmendes,lucas.mendes@dominio.com,6789-0123,Compras,SenhaForte@123
Beatriz Silva,beatrizsilva,beatriz.silva@dominio.com,7890-1234,Logistica,SenhaForte@123
Claudia Costa,claudiacosta,claudia.costa@dominio.com,8901-2345,Producao,SenhaForte@123
Fernando Alves,fernandoalves,fernando.alves@dominio.com,9012-3456,Juridico,SenhaForte@123
Vanessa Santos,vanessasantos,vanessa.santos@dominio.com,0123-4567,Pesquisa e Desenvolvimento,SenhaForte@123
Tiago Silva,tiagosilva,tiago.silva@dominio.com,0123-4567,TI,SenhaForte@123
